period,treated,unserved_total,outflow_wait,outflow_full,outflow_mismatch,referral_success_rate,county_allocation_ratio,avg_referral_path_length,county_occupancy,secondary_occupancy,township_occupancy,county_inpatient_share,secondary_inpatient_share,township_inpatient_share
53,315,173,23,0,150,0.0,0.3,1.0,0.0,0.0,0.33498115978683035,0.0,0.0,0.2222222222222222
54,472,86,0,86,0,0.0,0.3,1.0,1.0630490444586327,0.1143243142155783,0.25171571244433827,1.0,1.0,0.1566265060240964
55,456,39,0,35,4,0.0,0.3,1.0,0.9987592828695867,0.0,0.32048750314765795,1.0,0.0,0.22291021671826625
56,347,63,0,0,63,0.0,0.3,1.0,0.695553246610373,0.0,0.2460806720573514,1.0,0.0,0.20491803278688525
57,375,22,0,0,22,0.0,0.3,1.0,0.8328392301769467,0.0,0.2677097856450644,1.0,0.0,0.23622047244094488
58,418,36,0,0,36,0.0,0.3,1.0,0.9266817051931173,0.0,0.3506692407296316,1.0,0.0,0.2482758620689655
59,355,75,0,0,75,0.0,0.3,1.0,0.6093785282844643,0.0,0.2774439710758048,1.0,0.0,0.23134328358208955
60,419,35,0,14,21,0.0,0.3,1.0,1.0631650265684935,0.05559590012409417,0.2833968465331781,1.0,1.0,0.22340425531914893
61,284,175,23,0,152,0.0,0.3,1.0,0.0,0.0,0.2750387136495894,0.0,0.0,0.23591549295774647
62,439,110,0,110,0,0.0,0.3,1.0,0.9998397871395182,0.0,0.30050617582772543,1.0,0.0,0.2
63,456,81,0,79,2,0.0,0.3,1.0,0.9997266449347701,0.5473989724990567,0.24910640057809733,1.0,1.0,0.18506493506493507
64,458,52,0,16,36,0.0,0.3,1.0,0.9998330506539967,0.20554243206224443,0.34327745629096507,1.0,1.0,0.24358974358974358
65,311,183,24,0,159,0.0,0.3,1.0,0.0,0.05359985805988617,0.366973678499899,0.0,1.0,0.24919093851132687
66,473,61,0,61,0,0.0,0.3,1.0,1.0635153421276577,0.018169808755896737,0.26972942322628257,1.0,1.0,0.2042042042042042
67,384,87,0,84,3,0.0,0.3,1.0,0.9993256520040597,0.10180483072698429,0.22697570386369606,1.0,1.0,0.1865671641791045
68,365,46,0,0,46,0.0,0.3,1.0,0.8363668499442166,0.0,0.23996091520771465,1.0,0.0,0.2111111111111111
69,338,64,0,0,64,0.0,0.3,1.0,0.7126013693973376,0.0,0.2474237701909347,1.0,0.0,0.21875
70,422,30,0,0,30,0.0,0.3,1.0,0.8891107403527038,0.0,0.2745122534816341,1.0,0.0,0.20735785953177258
71,363,54,0,0,54,0.0,0.3,1.0,0.703506141457451,0.0325070204426713,0.2763580685015071,1.0,1.0,0.21678321678321677
72,391,40,0,7,33,0.0,0.3,1.0,1.0633974868426668,0.0,0.19881398404170417,1.0,0.0,0.18587360594795538
73,311,152,11,0,141,0.0,0.3,1.0,0.0,0.0,0.33963084376602104,0.0,0.0,0.2540192926045016
74,427,95,0,95,0,0.0,0.3,1.0,0.9985735702383463,0.5578615779761058,0.2142192500961107,1.0,1.0,0.19
75,411,87,0,83,4,0.0,0.3,1.0,0.9999970180653488,0.0,0.2490204100788925,1.0,0.0,0.19471947194719472
76,457,60,0,11,49,0.0,0.3,1.0,0.9985755050101219,0.0,0.28536179360403535,1.0,0.0,0.2182890855457227
77,315,160,13,0,147,0.0,0.3,1.0,0.0,0.0,0.382689966311982,0.0,0.0,0.2698412698412698
78,407,90,0,90,0,0.0,0.3,1.0,1.0630863717051038,0.009766745198366582,0.20516868957048598,1.0,1.0,0.17586206896551723
79,401,77,0,73,4,0.0,0.3,1.0,0.9987818027737834,0.22163145369116363,0.24864976599403765,1.0,1.0,0.2363013698630137
80,403,68,0,5,63,0.0,0.3,1.0,0.9975603751961831,0.0,0.28262193122164303,1.0,0.0,0.22818791946308725
81,285,141,12,0,129,0.0,0.3,1.0,0.0,0.0,0.2654368207875492,0.0,0.0,0.21754385964912282
82,401,94,0,94,0,0.0,0.3,1.0,0.9993649896487322,0.0,0.2758694059022144,1.0,0.0,0.25
83,411,74,0,69,5,0.0,0.3,1.0,0.9994918112668443,0.0,0.2713233496284367,1.0,0.0,0.19141914191419143
84,373,79,0,21,58,0.0,0.3,1.0,1.063602704001311,0.03853396803980319,0.18694202900501364,1.0,1.0,0.17110266159695817
85,310,185,9,0,176,0.0,0.3,1.0,0.0,0.0,0.34497368467975065,0.0,0.0,0.27419354838709675
86,417,123,0,115,8,0.0,0.3,1.0,0.9994966546383096,0.2623446644091328,0.26719628155409847,1.0,1.0,0.2080745341614907
87,454,83,0,73,10,0.0,0.3,1.0,0.9999185683390062,0.0,0.2401122012127423,1.0,0.0,0.1676300578034682
88,428,92,0,31,61,0.0,0.3,1.0,0.9997190609550752,0.0,0.30432291292236324,1.0,0.0,0.2225609756097561
89,349,180,19,0,161,0.0,0.3,1.0,0.0,0.0,0.34090363666986606,0.0,0.0,0.23209169054441262
90,423,133,0,111,22,0.0,0.3,1.0,1.0621124001706312,0.061501791981087725,0.2981550755605856,1.0,1.0,0.24776119402985075
91,351,95,0,90,5,0.0,0.3,1.0,0.9983639735840161,0.0,0.2077864464229658,1.0,0.0,0.18450184501845018
92,378,63,0,16,47,0.0,0.3,1.0,0.9988384400368203,0.05482734140769592,0.3356338900399565,1.0,1.0,0.2534246575342466
93,292,168,16,0,152,0.0,0.3,1.0,0.0,0.0,0.27010917977683485,0.0,0.0,0.21232876712328766
94,415,96,0,92,4,0.0,0.3,1.0,0.9990722492816164,0.06785659280884397,0.23237485564672825,1.0,1.0,0.1762917933130699
95,352,86,0,81,5,0.0,0.3,1.0,0.9987510396660578,0.0,0.23246026388113927,1.0,0.0,0.21804511278195488
96,415,94,0,42,52,0.0,0.3,1.0,1.0626429834532305,0.0,0.34650728538305814,1.0,0.0,0.2331288343558282
97,341,201,5,0,196,0.0,0.3,1.0,0.0,0.03780085026462402,0.3082941389906907,0.0,1.0,0.22058823529411764
98,460,154,0,121,33,0.0,0.3,1.0,0.998067051756078,0.05940045778936998,0.28820210897579623,1.0,1.0,0.19210526315789472
99,434,141,0,116,25,0.0,0.3,1.0,0.9978198206760116,0.0,0.3289459499345448,1.0,0.0,0.2017291066282421
100,459,121,0,64,57,0.0,0.3,1.0,0.9981055815607385,0.15344779595647523,0.33171406420862015,1.0,1.0,0.18867924528301888
101,342,199,14,0,185,0.0,0.3,1.0,0.0,0.0,0.2573881672084687,0.0,0.0,0.19298245614035087
102,388,182,0,138,44,0.0,0.3,1.0,1.0633084691763397,0.06545122656029456,0.21940338597399262,1.0,1.0,0.17263843648208468
103,391,112,0,100,12,0.0,0.3,1.0,0.9998119831755508,0.0,0.23703036535751823,1.0,0.0,0.2251655629139073
104,383,102,0,34,68,0.0,0.3,1.0,0.9998902684203044,0.0,0.30242939545353004,1.0,0.0,0.22697368421052633
105,279,150,13,0,137,0.0,0.3,1.0,0.0,0.0,0.35469460015589344,0.0,0.0,0.27956989247311825
106,388,116,0,91,25,0.0,0.3,1.0,0.9995144384132401,0.09213154419728498,0.2596143753964649,1.0,1.0,0.21153846153846154
107,355,133,0,116,17,0.0,0.3,1.0,0.9998296575474317,0.0,0.20649159562437866,1.0,0.0,0.17437722419928825
108,400,93,0,43,50,0.0,0.3,1.0,1.062090115457788,0.0,0.2802527941089808,1.0,0.0,0.20189274447949526
109,341,197,11,0,186,0.0,0.3,1.0,0.0,0.0,0.33751488002427527,0.0,0.0,0.2316715542521994
110,448,127,0,112,15,0.0,0.3,1.0,0.9974248541749839,0.3824192680356719,0.28857472011504753,1.0,1.0,0.19553072625698323
111,399,145,0,99,46,0.0,0.3,1.0,0.9993913248620918,0.03651294755443668,0.23720596646883563,1.0,1.0,0.19939577039274925
112,449,106,0,62,44,0.0,0.3,1.0,0.9979293312839488,0.06602991024911117,0.3456033040362952,1.0,1.0,0.21447721179624665
113,316,189,17,0,172,0.0,0.3,1.0,0.0,0.0,0.3317059600504066,0.0,0.0,0.23417721518987342
114,397,135,0,125,10,0.0,0.3,1.0,1.0638030359422075,0.06065075169159698,0.28710937054720526,1.0,1.0,0.2080745341614907
115,352,120,0,93,27,0.0,0.3,1.0,0.9989954040271087,0.0,0.2792100042872488,1.0,0.0,0.21575342465753425
116,376,98,0,39,59,0.0,0.3,1.0,0.9998182288383296,0.0,0.33295131546000034,1.0,0.0,0.24025974025974026
117,282,167,10,0,157,0.0,0.3,1.0,0.0,0.0,0.18408697455903147,0.0,0.0,0.17375886524822695
118,391,143,0,115,28,0.0,0.3,1.0,0.9976359245340796,0.22166131695761856,0.22203776634731728,1.0,1.0,0.18461538461538463
119,405,92,0,71,21,0.0,0.3,1.0,0.9993144822241958,0.0,0.29957224306466185,1.0,0.0,0.21005917159763313
120,382,111,0,64,47,0.0,0.3,1.0,1.0623886227109456,0.10250682933159817,0.32413640634514235,1.0,1.0,0.22435897435897437
121,310,200,9,0,191,0.0,0.3,1.0,0.0,0.0,0.2602098709155404,0.0,0.0,0.2064516129032258
122,408,183,0,134,49,0.0,0.3,1.0,0.998894164411304,0.08276003964298317,0.2350284536596294,1.0,1.0,0.17543859649122806
123,453,150,0,105,45,0.0,0.3,1.0,0.9986017812432174,0.0,0.294091275821556,1.0,0.0,0.1848101265822785
124,389,129,0,47,82,0.0,0.3,1.0,0.999870953519842,0.0,0.32554653466203565,1.0,0.0,0.24539877300613497
125,305,183,12,0,171,0.0,0.3,1.0,0.0,0.0,0.2756907545349119,0.0,0.0,0.23934426229508196
126,400,132,0,117,15,0.0,0.3,1.0,1.0634524413153257,0.040938885348707724,0.2904555625544074,1.0,1.0,0.19701492537313434
127,370,128,0,91,37,0.0,0.3,1.0,0.9982622779229714,0.19520950585649527,0.23707593566067,1.0,1.0,0.18006430868167203
128,331,126,0,50,76,0.0,0.3,1.0,0.9980817707113948,0.0,0.3302777197810877,1.0,0.0,0.2737226277372263
129,324,158,13,0,145,0.0,0.3,1.0,0.0,0.0,0.25238712194070373,0.0,0.0,0.1728395061728395
130,399,130,0,111,19,0.0,0.3,1.0,0.9989249467007096,0.0,0.30004639089057983,1.0,0.0,0.2
131,320,134,0,97,37,0.0,0.3,1.0,0.9980091826551893,0.12663552794348895,0.23855080195606176,1.0,1.0,0.19101123595505617
132,373,133,0,66,67,0.0,0.3,1.0,1.0621308828306548,0.0,0.3569170295715646,1.0,0.0,0.2625
133,335,186,7,0,179,0.0,0.3,1.0,0.0,0.1280921703242387,0.332961944898743,0.0,1.0,0.24471299093655588
134,444,173,0,139,34,0.0,0.3,1.0,0.9988090054396396,0.07431846036797364,0.256359026485232,1.0,1.0,0.16710875331564987
135,403,176,0,113,63,0.0,0.3,1.0,0.9997560932691378,0.0,0.2898343036162417,1.0,0.0,0.17847025495750707
136,429,180,0,65,115,0.0,0.3,1.0,0.9993209396718583,0.12203044679224789,0.35013393978150603,1.0,1.0,0.23324396782841822
137,332,236,13,0,223,0.0,0.3,1.0,0.0,0.0,0.24275532323286603,0.0,0.0,0.19578313253012047
138,388,192,0,127,65,0.0,0.3,1.0,1.0627369490185536,0.0,0.251131634233486,1.0,0.0,0.17058823529411765
139,373,132,0,91,41,0.0,0.3,1.0,0.9980936094743663,0.09567513607412911,0.3300797469777705,1.0,1.0,0.2125
140,359,107,0,38,69,0.0,0.3,1.0,0.9999161266861273,0.0,0.2830009791329818,1.0,0.0,0.22580645161290322
141,273,141,7,0,134,0.0,0.3,1.0,0.0,0.0,0.34580135508069354,0.0,0.0,0.27472527472527475
142,343,124,0,89,35,0.0,0.3,1.0,0.9975178275860722,0.0,0.2612466724644647,1.0,0.0,0.2054794520547945
143,345,141,0,100,41,0.0,0.3,1.0,0.9996756122112217,0.02689325818688566,0.1954829288491646,1.0,1.0,0.1447811447811448
144,384,160,0,65,95,0.0,0.3,1.0,1.0624373055821876,0.0,0.35639845397868436,1.0,0.0,0.24633431085043989
145,345,195,6,0,189,0.0,0.3,1.0,0.0,0.38607080181285514,0.3128166045061867,0.0,1.0,0.2417910447761194
146,406,188,0,108,80,0.0,0.3,1.0,0.9977210204332023,0.07897673920200217,0.33076957415441954,1.0,1.0,0.24175824175824176
147,421,191,0,122,69,0.0,0.3,1.0,0.9992645703092665,0.0,0.3355719647110435,1.0,0.0,0.19946808510638298
148,438,147,0,57,90,0.0,0.3,1.0,0.9969414334657258,0.0,0.3326003320027766,1.0,0.0,0.19845360824742267
149,369,199,17,0,182,0.0,0.3,1.0,0.0,0.13357079814399506,0.37799022770171886,0.0,1.0,0.23351648351648352
150,380,167,0,120,47,0.0,0.3,1.0,1.063130044944606,0.03742349639365758,0.25021588254127247,1.0,1.0,0.17791411042944785
151,390,144,0,95,49,0.0,0.3,1.0,0.9994882359307844,0.0,0.2333646843397712,1.0,0.0,0.18285714285714286
152,396,130,0,51,79,0.0,0.3,1.0,0.9977867175017304,0.0,0.37914591024532385,1.0,0.0,0.276657060518732
153,307,179,10,0,169,0.0,0.3,1.0,0.0,0.0,0.24159506953355497,0.0,0.0,0.1986970684039088
154,341,169,0,93,76,0.0,0.3,1.0,0.9987947218898269,0.11863834287407053,0.22230787664550575,1.0,1.0,0.21710526315789475
155,377,177,0,117,60,0.0,0.3,1.0,0.9964534696590398,0.0,0.3322573884591001,1.0,0.0,0.2537313432835821
156,400,150,0,68,82,0.0,0.3,1.0,1.0627308830962428,0.08997467990289984,0.3184737027114202,1.0,1.0,0.23595505617977527
157,329,216,5,0,211,0.0,0.3,1.0,0.0,0.0,0.27890803116763985,0.0,0.0,0.21580547112462006
158,440,176,0,104,72,0.0,0.3,1.0,0.9995457906717751,0.4980435632458144,0.31877264542151745,1.0,1.0,0.19473684210526315
159,366,164,0,118,46,0.0,0.3,1.0,0.9995161518819579,0.0,0.28891268496161404,1.0,0.0,0.2361963190184049
160,404,182,0,77,105,0.0,0.3,1.0,0.9998556254261897,0.0,0.3195692691723405,1.0,0.0,0.22950819672131148
161,342,204,16,0,188,0.0,0.3,1.0,0.0,0.0,0.27738789405466596,0.0,0.0,0.21052631578947367
162,394,162,0,111,51,0.0,0.3,1.0,1.061348712103443,0.02613720392541002,0.2808137520785989,1.0,1.0,0.20916905444126074
163,378,123,0,83,40,0.0,0.3,1.0,0.9992679630734609,0.0,0.27559122457619717,1.0,0.0,0.2261904761904762
164,358,146,0,55,91,0.0,0.3,1.0,0.9967400803652341,0.07309623995543264,0.25870276157730576,1.0,1.0,0.2120253164556962
165,304,169,12,0,157,0.0,0.3,1.0,0.0,0.0,0.2785643719066935,0.0,0.0,0.2532894736842105
166,380,171,0,97,74,0.0,0.3,1.0,0.9988382215072606,0.13893710437674062,0.2656211047033618,1.0,1.0,0.20579710144927535
167,346,167,0,97,70,0.0,0.3,1.0,0.9969443846357566,0.06798059208115875,0.2554894397539999,1.0,1.0,0.21639344262295082
168,399,138,0,53,85,0.0,0.3,1.0,1.0630182062222546,0.05210693787640089,0.317756873999531,1.0,1.0,0.22662889518413598
169,355,201,7,0,194,0.0,0.3,1.0,0.0,0.0,0.26778254262201756,0.0,0.0,0.18028169014084508
170,415,220,0,136,84,0.0,0.3,1.0,0.9993401641894697,0.05725975133348262,0.3308772681241641,1.0,1.0,0.2
171,455,180,0,115,65,0.0,0.3,1.0,0.997522775343041,0.021686136425742644,0.3115301548881038,1.0,1.0,0.18660287081339713
172,404,156,0,70,86,0.0,0.3,1.0,0.9966268910098998,0.0,0.3168501987571706,1.0,0.0,0.2154696132596685
173,327,208,17,0,191,0.0,0.3,1.0,0.0,0.0,0.3303703263782372,0.0,0.0,0.2324159021406728
174,411,207,0,137,70,0.0,0.3,1.0,1.0633271702647762,0.023047397296294257,0.3043369163718335,1.0,1.0,0.20053475935828877
175,346,165,0,96,69,0.0,0.3,1.0,0.9994035487053015,0.10649877986565509,0.2001887447855481,1.0,1.0,0.16878980891719744
176,346,134,0,45,89,0.0,0.3,1.0,0.9962441875955298,0.07878195046979689,0.3016352294935275,1.0,1.0,0.22258064516129034
177,299,186,7,0,179,0.0,0.3,1.0,0.0,0.0,0.26814763029372,0.0,0.0,0.23076923076923078
178,363,184,0,122,62,0.0,0.3,1.0,0.9969420337968401,0.0,0.2506613468913714,1.0,0.0,0.19393939393939394
179,370,147,0,90,57,0.0,0.3,1.0,0.9982014771699058,0.0,0.23633269743953053,1.0,0.0,0.19879518072289157
180,353,138,0,52,86,0.0,0.3,1.0,1.0605880151927358,0.107462637515363,0.3134745139981549,1.0,1.0,0.2389937106918239
