t,median,q05,q95,q25,q75
8.500000000000000000e+01,1.422121892952320776e-01,1.422121892952320776e-01,1.422121892952320776e-01,1.422121892952320776e-01,1.422121892952320776e-01
8.600000000000000000e+01,1.409090905888429890e-01,1.409090905888429890e-01,1.409090905888429890e-01,1.409090905888429890e-01,1.409090905888429890e-01
8.700000000000000000e+01,1.257731956169624854e-01,1.257731956169624854e-01,1.257731956169624854e-01,1.257731956169624854e-01,1.257731956169624854e-01
8.800000000000000000e+01,1.346938772761349379e-01,1.346938772761349379e-01,1.346938772761349379e-01,1.346938772761349379e-01,1.346938772761349379e-01
8.900000000000000000e+01,1.453634081569839531e-01,1.453634081569839531e-01,1.453634081569839531e-01,1.453634081569839531e-01,1.453634081569839531e-01
9.000000000000000000e+01,1.345707653490237354e-01,1.345707653490237354e-01,1.345707653490237354e-01,1.345707653490237354e-01,1.345707653490237354e-01
9.100000000000000000e+01,1.274509800797770098e-01,1.274509800797770098e-01,1.274509800797770098e-01,1.274509800797770098e-01,1.274509800797770098e-01
9.200000000000000000e+01,1.339712915455232300e-01,1.339712915455232300e-01,1.339712915455232300e-01,1.339712915455232300e-01,1.339712915455232300e-01
9.300000000000000000e+01,1.536388136020517270e-01,1.536388136020517270e-01,1.536388136020517270e-01,1.536388136020517270e-01,1.536388136020517270e-01
9.400000000000000000e+01,1.623711336021362583e-01,1.623711336021362583e-01,1.623711336021362583e-01,1.623711336021362583e-01,1.623711336021362583e-01
9.500000000000000000e+01,1.502242149098111657e-01,1.502242149098111657e-01,1.502242149098111657e-01,1.502242149098111657e-01,1.502242149098111657e-01
9.600000000000000000e+01,1.506849311628197796e-01,1.506849311628197796e-01,1.506849311628197796e-01,1.506849311628197796e-01,1.506849311628197796e-01
9.700000000000000000e+01,1.507760528807626232e-01,1.507760528807626232e-01,1.507760528807626232e-01,1.507760528807626232e-01,1.507760528807626232e-01
9.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.900000000000000000e+01,1.757575754025099413e-01,1.757575754025099413e-01,1.757575754025099413e-01,1.757575754025099413e-01,1.757575754025099413e-01
1.000000000000000000e+02,1.792452825961196039e-01,1.792452825961196039e-01,1.792452825961196039e-01,1.792452825961196039e-01,1.792452825961196039e-01
1.010000000000000000e+02,1.246943762232411296e-01,1.246943762232411296e-01,1.246943762232411296e-01,1.246943762232411296e-01,1.246943762232411296e-01
