run_id,ALPHA_Q_UPD,TAU_A_START,TAU_A_END,PATIENT_HABIT_STRENGTH,PATIENT_INFO_ASYMMETRY,WAIT_TOLERANCE_A0,score,n_targets_used,n_targets_in,pass_all,capacity_county_last,capacity_county_mean,capacity_primary_last,capacity_primary_mean,capacity_secondary_last,capacity_secondary_mean,capacity_township_last,capacity_township_mean,flow_share_county_mean,flow_share_primary_mean,insurance_county_share_mean,insurance_primary_share_mean,insurance_total_mean,referral_success_rate_mean,severity_county_mean,severity_primary_mean
10,0.213394895394058,0.27308253522639886,0.052735988402676855,0.38339468104384533,0.11360923715007056,6.886150204557589,0.0,6,6,True,1410.0,1410.0,780.723476344713,776.9357437625878,216.4268877047131,196.3070175737873,564.29658864,580.6287261887993,0.41052131348865745,0.5894786840666559,0.7467591111968107,0.253240888803189,179903.18323645805,0.0,0.5968068564567358,0.2504819933704645
11,0.2673908281050788,0.2914247598921763,0.0373719549895257,0.3921283606551848,0.07912031406079781,6.125066982754557,0.33631962656916486,6,2,False,692.0904214122135,789.0741753952624,700.7585734426866,690.10832101874,153.77717344268666,143.126921018739,546.9814,546.981399999999,0.26730981711391394,0.7326901801699077,0.5753700612024748,0.4246299387975252,138654.41462062954,0.0,0.6363428306636085,0.2490254125054334
12,0.2745067597959383,0.25954094262463107,0.06361589785088245,0.39976328453194626,0.08687582853735981,9.562680053185012,0.5513665254958252,6,2,False,505.3976002973815,632.1034611243983,708.0745150485247,713.2684271551286,159.39455280852482,161.89936615672863,548.6799622399999,551.3690609983995,0.22425697761939364,0.7757430196122357,0.5495456991795149,0.4504543008204853,124565.815430958,0.0,0.6575746168564259,0.2494230690242558
13,0.2522025139264725,0.324387968939048,0.03436361355312383,0.3902742908908884,0.11351998188501754,9.966026519137824,0.00021936173004966268,6,5,False,1200.0,1200.0,758.0252470323226,756.0170879710793,184.39765082345497,178.30617512613978,573.6275962088677,577.7109128449404,0.39274418748781925,0.6072558100517986,0.7334724110542367,0.26652758894576334,174829.64202804805,0.0,0.6025037027182671,0.25035434212694174
14,0.26713776236031117,0.27039411816381187,0.03497428855219126,0.3525888835526186,0.09968879409455325,6.76862123642511,0.6707178426468202,6,2,False,731.4827262492977,743.9202505579996,741.1667880138978,749.4025909994036,134.33214951402567,142.56795249953151,606.8346384998721,606.8346384998728,0.23844543113652658,0.7615545660892308,0.5171119439438333,0.4828880560561668,133399.7855248469,0.0,0.6313061234556283,0.2485154197252912
15,0.22634387911969864,0.2650305462186263,0.030019728283803337,0.25520309626229015,0.09727479965513028,7.5174652066931955,0.0,6,6,True,1500.0,1500.0,739.4066650702174,744.1141555545586,169.11710507021746,175.98459555455932,570.2895599999999,568.1295599999991,0.4211581460390291,0.5788418515427001,0.7541062031394072,0.24589379686059257,183549.59752334698,0.0,0.5916729779606837,0.2506110402642105
16,0.296591949607531,0.2525345765854576,0.04998811787574439,0.3453491229893074,0.08357408369397124,9.41316642735153,3.3251128638371434,6,2,False,187.50672739999746,244.96656374373902,711.0954961355096,715.3682662898085,177.71645763563765,181.98922778993744,533.379038499872,533.379038499872,0.08853163118557633,0.9114683658573187,0.30498710007698704,0.6950128999230134,86235.78626135804,0.0,0.723539030843537,0.24923170943318076
17,0.2374980612804599,0.28144264400285,0.03215085962720155,0.24661661838038196,0.1345135067304275,6.7589035963017,0.0,6,6,True,1500.0,1500.0,774.8863361898798,760.2468379710613,232.8,215.4439406456001,542.0863361898797,544.8028973254605,0.42169676245515086,0.5783032351331904,0.7548963090330574,0.2451036909669428,184954.41596539383,0.0,0.5955398645966803,0.2518461175986698
18,0.23448012144008243,0.29805187829206964,0.040946133308476886,0.3544034721817876,0.09823971934355269,9.465305371071887,4.241049925296135,6,2,False,114.29827679052833,186.4822057349195,771.7597447201034,765.4158506993471,181.9036687201034,175.55977469934743,589.856076,589.8560759999984,0.06685259919865304,0.9331473978181531,0.24972725136000484,0.7502727486399948,80052.1067525744,0.0,0.7364612181261188,0.24815092600271527
19,0.2686040651739564,0.3471212844731101,0.04043663990771541,0.22358498233279342,0.12205109107783468,7.234110721322816,2.727319746869009,6,2,False,285.2837696796111,326.69726039688715,709.8092941333215,720.6006028188962,157.91669998452144,168.70800867009672,551.8925941488001,551.8925941487995,0.10813674254522415,0.891863254560396,0.3422172033832291,0.6577827966167709,92756.42053338928,0.0,0.7077499546647747,0.24816756506680243
